Date,Product,Region,Sales_Amount,Discount
2021-04-13,Product A,West,214.15919861503826,0.10254111164765475
2022-03-12,Product A,North,223.9073785216162,0.2217079673363876
2021-09-28,Product A,East,303.9984908054971,0.06697901565155889
2021-04-17,Product C,North,136.30210501633726,0.19255798765660662
2021-03-13,Product C,North,145.28990779946525,0.17119488716428047
2022-12-02,Product D,East,268.07071415848907,0.17042775370136018
2021-01-21,Product B,East,389.41409495473835,0.19890220384253277
2022-09-07,Product C,East,328.77398813341443,0.16451461085869618
2021-05-02,Product C,North,183.8097717065775,0.26377653445391536
2022-04-12,Product B,North,243.65172987901454,0.20267402758507794
2021-08-03,Product C,East,126.79914134749929,0.16408897541141643
2021-11-27,Product A,West,83.58341645168677,0.24892893608629346
2022-04-04,Product A,West,,0.18184396948004392
2021-03-29,Product B,South,169.42433413468757,0.0873432743355537
2022-01-08,Product D,East,129.9948745330617,0.062128475452971364
2021-04-10,Product D,South,361.2281250061937,0.04569833569880364
2022-10-26,Product B,West,328.12325342923367,0.2698365637638305
2021-05-11,Product B,South,334.93533170605883,0.21304062953941974
2022-10-24,Product A,East,153.00257218097613,0.28121353144929623
2021-11-05,Product D,East,154.69049235320645,0.1809875417144829
2021-12-10,Product C,East,149.3611834035376,0.14202026444847377
2022-05-07,Product A,North,128.18866804803253,0.0179149466912668
2022-02-18,Product B,South,345.07565265274536,0.20149268446380894
2022-01-21,Product D,West,431.60714836223065,0.17466262793046936
2021-07-11,Product C,West,375.94286135449755,0.2970626680762864
2021-10-04,Product C,West,406.44213519224445,0.0717476333346729
2021-06-10,Product A,North,232.15929308833992,0.15922120658605074
2022-04-05,Product D,North,344.33410791739914,0.19528720053542178
2021-11-10,Product D,East,209.40630820014854,0.19337735242270307
2021-01-22,Product B,West,286.477079885888,0.16838806288452082
2021-09-10,Product D,North,266.73568094068804,0.23307840309816763
2022-07-15,Product D,East,129.59921531473447,0.061494362858044924
2022-04-20,Product A,West,224.18544215103387,0.21768816008232475
2021-02-28,Product D,South,483.72002396705795,0.18592037142992676
2022-05-26,Product C,East,161.86111597172393,0.268822533538372
2022-11-13,Product A,North,110.21168132576992,0.2541583317100745
2022-04-21,Product A,North,238.3612797307709,0.09454411173976597
2022-12-01,Product B,East,405.6519811370666,0.08287119749254591
2021-07-09,Product D,East,311.9667034009875,0.2944959971557343
2022-11-18,Product B,North,356.43867225721004,0.15817955427457694
2022-07-17,Product C,South,135.36268167860473,0.27192628917433104
2022-07-21,Product A,West,328.5266868534747,0.04916430713414466
2021-09-01,Product A,South,195.5751777101632,0.19284567444005227
2022-05-20,Product A,East,425.43651467964537,0.24295805620817584
2021-05-11,Product C,South,333.1844627048313,0.28421857487593405
2022-04-30,Product C,North,139.48532499888316,0.10120204230510704
2022-10-09,Product B,East,79.07750592983876,0.21749435097721573
2021-01-21,Product B,West,69.18494417916473,0.1616439027118857
2021-06-16,Product B,North,217.13385544256334,0.018188677819940456
2021-10-01,Product D,North,169.63301149444106,0.206999921192683
2022-01-23,Product A,West,340.7405555581286,0.20702896747135302
2022-08-24,Product A,West,274.7002257403782,0.2791820414539611
2021-11-12,Product B,South,169.70867510242132,0.1491937338506917
2021-01-14,Product A,East,117.15700007757926,0.0690752762131544
2021-08-30,Product B,West,107.23989320935232,0.013369147034603745
2021-12-12,Product D,West,439.09717646318796,0.1246926560057717
2022-07-19,Product D,East,159.56508578219024,0.09057501002325054
2021-12-06,Product C,West,343.26979155993575,0.22832649180716266
2021-04-02,Product D,West,414.8086675938198,0.10628032945231398
2022-01-02,Product B,South,326.33659003313124,0.28472135889445316
2022-03-31,Product D,North,436.80435424112557,0.2886930608963353
2022-03-04,Product C,North,226.57717468781354,0.18627257706531242
2022-05-24,Product A,North,480.29998579202675,0.27859808610446485
2021-02-04,Product B,North,109.91525188014361,0.22825630335434868
2021-07-25,Product A,West,95.96728834589214,0.16405789229253784
2021-03-22,Product C,East,346.4114657933496,0.054092380626833435
2022-07-16,Product C,East,474.2740136359678,0.137579383054152
2022-01-23,Product C,South,413.99755773634763,0.16826233900878526
2021-01-02,Product A,South,84.38758674712315,0.25918847422050306
2022-01-25,Product A,West,175.71547127062237,0.14440001296069946
2022-07-20,Product A,East,468.64349817702066,0.269302401803387
2021-04-16,Product A,East,163.87629476035306,0.20230469370704066
2022-04-22,Product C,North,401.52669070411366,0.04109971891610141
2022-12-04,Product C,West,421.3094881679167,0.29849441079752786
2022-02-06,Product B,West,272.9534465574418,0.15816979822617377
2022-12-31,Product B,North,223.85700943174197,0.11755748892272366
2022-07-10,Product A,West,252.55599458889185,0.19773412934085796
2021-06-11,Product D,West,152.13411246441387,0.03266799419431172
2021-07-21,Product D,South,450.2259122579799,0.1909615940260063
2021-09-27,Product C,East,252.77884552839106,0.1494708001497819
2021-09-28,Product C,West,447.1067482052449,0.12200222099957493
2022-04-01,Product C,South,97.56206595782334,0.28590600635366975
2022-04-07,Product B,East,494.7238719500591,0.15676191501961598
2022-12-28,Product B,North,249.47288934962822,0.06573524384098152
2021-09-09,Product C,South,71.52386917734746,0.13768904381318958
2022-12-03,Product C,South,67.1098317068547,0.2758162213718018
2021-10-23,Product C,East,385.79326586682737,0.0528286413991784
2022-12-26,Product D,North,346.5659903916563,0.06418711160647107
2022-12-21,Product B,South,410.9587511574144,0.003908870327125125
2021-12-04,Product D,West,97.41539027876269,0.004257014818730154
2021-02-22,Product D,West,66.00689016599677,0.24881748808755375
2021-08-05,Product C,West,278.8606802514103,0.21963678205288675
2021-07-07,Product C,North,224.41785416724628,0.10651231693558748
2022-01-15,Product A,South,257.87612150193013,0.2094933471682718
2022-05-08,Product A,West,496.2147839916233,0.11856177789299105
2021-02-10,Product D,North,486.8374809518016,0.2858690387993482
2021-06-06,Product B,West,474.0419253529368,0.29011580442781043
2021-01-15,Product C,East,402.72920454545323,0.11783813274280301
2021-03-06,Product C,South,209.67861211560069,0.2562665719022604
2022-06-05,Product D,South,235.45891861824722,0.23192671250923985
2021-12-10,Product A,North,297.327219673516,0.09299998115153679
2021-05-09,Product B,North,423.74050538217796,0.06961194867033178
2022-10-10,Product A,South,80.92077463322049,0.13747039511785014
2022-04-17,Product A,West,240.93359864819965,0.23440465218432185
2021-03-04,Product A,West,87.17794855667091,0.2880503354186236
2021-05-19,Product A,East,281.59591395808025,0.22907372065997175
2022-05-14,Product C,West,454.50537080280594,0.256562095505511
2022-08-16,Product C,North,402.1182160537721,0.18091929185115496
2022-01-27,Product A,North,152.52908789439948,0.25062234925263777
2022-11-06,Product B,West,489.1958823194566,0.23532625740102528
2022-02-23,Product D,North,350.3076791208928,0.11309566257788402
2021-10-16,Product B,South,54.69246472883138,0.16559709063621633
2022-01-14,Product B,South,164.93606810834876,0.24142593659690845
2022-05-05,Product B,West,167.32098496396245,0.013817020256986912
2021-08-19,Product A,South,81.16443782863698,0.24242378470674897
2021-02-10,Product C,South,481.92193313416806,0.053366437214707026
2021-01-28,Product B,East,265.2148825591657,0.15440508513643167
2021-05-15,Product A,East,453.1165688173469,0.24248263186678126
2021-07-20,Product B,South,194.99697655008276,0.07614632344700846
2021-02-02,Product B,West,106.3551066947722,0.0737422317918459
2021-02-17,Product A,East,263.4512494577963,0.12082931953867555
2022-05-18,Product C,North,101.28048562144272,0.26839283927329033
2022-02-11,Product C,North,268.706976339893,0.00013283443116236525
2022-07-28,Product D,North,464.13373154873346,0.27041492899258046
2022-12-29,Product A,West,284.3456638253957,0.04614210739248233
2021-04-09,Product D,South,327.42487710278755,0.2970259128202446
2022-11-15,Product D,North,120.48729663821373,0.2864540979115404
2022-12-27,Product D,West,69.68103164598627,0.148402556877385
2022-07-01,Product C,East,99.86358298091316,0.15381607434378844
2022-09-05,Product A,South,319.3392090579645,0.14446480208275628
2022-04-07,Product D,East,92.75526454653709,0.19063309369785678
2022-10-05,Product A,West,219.19680047359014,0.02721651067047931
2021-01-05,Product A,North,297.5413732061702,0.00978538450246995
